 Time (days),LWP,stom_conduct,rsoil,rplant
202.68,-2.4955199,52.3052788,.0000000,873816064.0000000
202.69,-2.4971917,77.1951218,.0000000,873816064.0000000
202.70,-2.4967461,72.3514862,.0000000,873816064.0000000
202.71,-2.4964972,70.2491760,.0000000,873816064.0000000
202.72,-2.4435673,56.4204559,.0000000,873816064.0000000
202.73,-2.3693941,46.3087540,.0000000,873816064.0000000
202.74,-2.3096533,63.4933624,.0000000,873816064.0000000
202.75,-2.2254517,44.9188194,.0000000,873816064.0000000
202.76,-2.1308460,40.5962639,.0000000,873816064.0000000
202.77,-2.0495973,64.2063751,.0000000,873816064.0000000
202.78,-1.9519029,20.3498020,.0000000,873816064.0000000
202.79,-1.8665730,37.0334892,.0000000,873816064.0000000
202.80,-1.7776200,17.4133739,.0000000,873816064.0000000
202.81,-1.6884626,1.6650668,.0000000,873816064.0000000
202.82,-1.6047635,1.6660506,.0000000,873816064.0000000
202.83,-1.5261835,1.6672570,.0000000,873816064.0000000
202.84,-1.4524513,1.6674938,.0000000,873816064.0000000
202.85,-1.3833138,1.6675665,.0000000,873816064.0000000
202.86,-1.3184369,1.6677940,.0000000,873816064.0000000
202.88,-1.2576057,1.6679085,.0000000,873816064.0000000
202.89,-1.2005669,1.6673322,.0000000,873816064.0000000
202.90,-1.1471858,1.6668776,.0000000,873816064.0000000
202.91,-1.0971836,1.6668248,.0000000,873816064.0000000
202.92,-1.0501971,1.6689675,.0000000,873816064.0000000
202.93,-1.0060863,1.6702585,.0000000,873816064.0000000
202.94,-.9647213,1.6710937,.0000000,873816064.0000000
202.95,-.9260370,1.6712732,.0000000,873816064.0000000
202.96,-.8897341,1.6715961,.0000000,873816064.0000000
202.97,-.8557553,1.6718460,.0000000,873816064.0000000
202.98,-.8238960,1.6719707,.0000000,873816064.0000000
202.99,-.7940558,1.6720223,.0000000,873816064.0000000
203.00,-.7661052,1.6724694,.0000000,873816064.0000000
203.01,-.7398894,1.6726938,.0000000,873816064.0000000
203.02,-.7154455,1.6729308,.0000000,873816064.0000000
203.03,-.6924751,1.6732494,.0000000,873816064.0000000
203.04,-.6709458,1.6737748,.0000000,873816064.0000000
203.05,-.6506739,1.6750747,.0000000,873816064.0000000
203.06,-.6316290,1.6773304,.0000000,873816064.0000000
203.07,-.6138279,1.6798778,.0000000,873816064.0000000
203.08,-.5975304,1.6818825,.0000000,873816064.0000000
203.09,-.5823430,1.6814771,.0000000,873816064.0000000
203.10,-.5682439,1.6814278,.0000000,873816064.0000000
